 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,6160144,44,85,2859,125496,534,0,64.97727273,151.6724575,4104,0,1476.423529,704.3994804,20836.36357,20.94106891,48126.125,441336.052,4955505,1,6160144,143259.1628,758327.4771,4955627,73,6117570,72828.21429,544984.4429,4956153,1,0,0,0,0,1416,2728,7.142690171,13.79837874,0,4104,987.3461538,886.6293695,786111.6389,0,0,0,1,0,0,0,0,1,995,64.97727273,1476.423529,1416,0,0,0,0,0,0,44,2859,85,125496,29200,172,8,32,0,0,0,0,0,0,0,0,BENIGN
443,6147654,47,90,2325,131358,517,0,49.46808511,129.7676604,2838,0,1459.533333,660.1851494,21745.36823,22.28492365,45203.33824,428282.0467,4963458,1,1184193,25743.32609,91222.90622,618938,128,6105262,68598.44944,529645.8377,4964454,3,0,0,0,0,1512,2888,7.645192784,14.63973086,0,2838,968.7173913,862.4363892,743796.5254,0,0,0,1,0,0,0,0,1,975.7883212,49.46808511,1459.533333,1512,0,0,0,0,0,0,47,2325,90,131358,29200,164,7,32,0,0,0,0,0,0,0,0,BENIGN
80,5090668,3,1,0,0,0,0,0,0,0,0,0,0,0,0.785751497,1696889.333,2907570.63,5054197,45,5090668,2545334,3548068.081,5054197,36471,0,0,0,0,0,0,0,0,0,104,40,0.589313622,0.196437874,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,42408,0,32,0,0,0,0,0,0,0,0,BENIGN
443,6369966,15,17,720,13516,335,0,48,96.80097402,2864,0,795.0588235,838.0500038,2234.862792,5.023574694,205482.7742,1088310.037,6068242,3,6369966,454997.5714,1615935.348,6068481,3,6319342,394958.875,1513347.194,6068242,3,0,0,0,0,320,352,2.354800638,2.668774056,0,2864,431.3939394,707.276508,500240.0587,0,0,0,1,0,0,0,0,1,444.875,48,795.0588235,320,0,0,0,0,0,0,15,720,17,13516,29200,66,14,20,301607,0,301607,301607,6068242,0,6068242,6068242,BENIGN
443,5440941,11,8,397,3015,198,0,36.09090909,64.7803281,2519,0,376.875,872.9235669,627.0974083,3.492043012,302274.5,1240219.91,5271160,3,5440941,544094.1,1661083.829,5271160,3,119089,17012.71429,28896.31717,66497,3,0,0,0,0,240,172,2.021709112,1.4703339,0,2519,170.6,559.3442025,312865.9368,0,0,0,1,0,0,0,0,0,179.5789474,36.09090909,376.875,240,0,0,0,0,0,0,11,397,8,3015,29200,62,10,20,169763,0,169763,169763,5271160,0,5271160,5271160,BENIGN
80,5037703,3,1,0,0,0,0,0,0,0,0,0,0,0,0.794012668,1679234.333,2887897.392,5013863,84,5037703,2518851.5,3528479.102,5013863,23840,0,0,0,0,0,0,0,0,0,104,40,0.595509501,0.198503167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5050065,3,1,0,0,0,0,0,0,0,0,0,0,0,0.792069013,1683355,2893668.76,5024644,71,5050065,2525032.5,3534984.484,5024644,25421,0,0,0,0,0,0,0,0,0,104,40,0.59405176,0.198017253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
443,5441133,12,9,403,3015,198,0,33.58333333,62.37344763,1432,0,335,541.6472561,628.1779916,3.859490294,272056.65,1175779.857,5266761,1,5441133,494648.4545,1582895.196,5266761,2,123157,15394.625,28648.46645,70800,1,0,0,0,0,260,192,2.205423025,1.654067269,0,1432,155.3636364,370.4807103,137255.9567,0,0,0,1,0,0,0,0,0,162.7619048,33.58333333,335,260,0,0,0,0,0,0,12,403,9,3015,29200,62,11,20,174327,0,174327,174327,5266761,0,5266761,5266761,BENIGN
55298,1029,2,0,0,0,0,0,0,0,0,0,0,0,0,1943.634597,1029,0,1029,1029,1029,1029,0,1029,1029,0,0,0,0,0,0,0,0,0,64,0,1943.634597,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,283,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
443,5070400,10,7,325,4109,201,0,32.5,66.20548819,1418,0,587,646.2811566,874.4872199,3.352792679,316900,865767.2708,3008528,3,5070400,563377.7778,1117685.138,3008535,3,3084685,514114.1667,1240100.995,3045286,48,0,0,0,0,328,232,1.972230988,1.380561691,0,1418,246.3333333,477.4828608,227989.8824,0,0,0,1,0,0,0,0,0,260.8235294,32.5,587,328,0,0,0,0,0,0,10,325,7,4109,29200,340,3,32,0,0,0,0,0,0,0,0,BENIGN
58186,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
58188,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,6237657,12,11,690,3491,318,0,57.5,103.052061,2519,0,317.3636364,742.5946772,670.2837299,3.687281939,283529.8636,1291676.677,6066143,2,6237657,567059.7273,1824008.87,6066274,2,6187169,618716.9,1914229.368,6066351,3,0,0,0,0,260,232,1.923799273,1.763482667,0,2519,174.2083333,512.8993442,263065.7373,0,0,0,1,0,0,0,0,0,181.7826087,57.5,317.3636364,260,0,0,0,0,0,0,12,690,11,3491,29200,66,11,20,171383,0,171383,171383,6066143,0,6066143,6066143,BENIGN
